Country,Gas 
France,1.7%
Germany,4.0%
United States,38.1%
United Kingdom,3.4%
Australia,1.7%
China,14.6%
Japan,4.5%
India,2.7%
South Africa,0.2%
Russia,20.3%
Brazil,1.7%
Italy,3.2%
South Korea,2.4%
Spain,1.4%
