Country,Year,Gas production,Gas consumption,Gas imports,Gas exports,Gas reserves,Coal production,Coal consumption,Coal imports,Coal exports,Coal reserves,Oil production,Oil consumption,Oil imports,Oil exports,Oil reserves,Gas production per capita,Gas consumption per capita,Gas imports per capita,Gas exports per capita,Gas reserves per capita,Coal production per capita,Coal consumption per capita,Coal imports per capita,Coal exports per capita,Coal reserves per capita,Oil production per capita,Oil consumption per capita,Oil imports per capita,Oil exports per capita,Oil reserves per capita,Population,Gas net imports,Coal net imports,Oil net imports,Gas net imports per capita,Coal net imports per capita,Oil net imports per capita
United Kingdom,2018,40810000000,79850000000,47000000000,7560000000,1.807E+11,2782000,12060000,10080000,633800,26000,58070000,93220000,51780000,47510000,397500000,607.9,1189,700,112.6,2691,0.04144,0.1796,0.1502,0.009439,0.0003872,0.8649,1.388,0.7712,0.7076,5.92,67140000,39440000000,9451000,4273000,587.4,0.1408,0.06364
United Kingdom,2019,39680000000,79430000000,47170000000,7971000000,1.807E+11,2591000,7981000,6229000,740200,26000,59600000,91640000,53430000,49610000,397500000,587.6,1176,698.5,118,2676,0.03837,0.1182,0.09224,0.01096,0.000385,0.8826,1.357,0.7912,0.7347,5.886,67530000,39200000000,5489000,3819000,580.4,0.08128,0.05656
United Kingdom,2020,38489600000,77047100000,45283200000,8210130000,1.807E+11,1673000,7072000,4527000,1309000,26000,55010000,70560000,40930000,41830000,429300000,566.9406393,1134.881426,667.0083959,120.9328325,2662,0.02465,0.1042,0.06669,0.01928,0.000382972,0.8103,1.039,0.6029,0.6162,6.324,67890000,37073070000,3219000,-902500,546.0755634,0.04741,-0.01329
Australia,2016,86900000000,43290000000,6310000000,58670000000,8.609E+11,508400000,118900000,42180,389300000,144800000,16830000,64730000,17920000,12510000,189700000,3581,1784,260.1,2418,35480,20.96,4.901,0.001738,16.05,5.969,0.6935,2.668,0.7385,0.5156,7.818,24260000,-52360000000,-389300000,5408000,-2158,-16.04,0.2229
Australia,2017,1.053E+11,45250000000,5786000000,74220000000,1.989E+12,505700000,114900000,55390,379200000,144800000,15280000,67600000,18710000,11370000,289500000,4282,1841,235.3,3019,80900,20.57,4.672,0.002253,15.43,5.891,0.6216,2.75,0.7611,0.4625,11.78,24580000,-68430000000,-379200000,7341000,-2784,-15.42,0.2986
Australia,2018,1.225E+11,43970000000,5845000000,90670000000,3.215E+12,491700000,105600000,76960,381900000,149100000,16470000,68600000,20720000,11480000,388900000,4919,1766,234.7,3641,129100,19.75,4.239,0.003091,15.34,5.988,0.6615,2.755,0.8323,0.4611,15.62,24900000,-84820000000,-381900000,9242000,-3407,-15.34,0.3712
Australia,2019,1.46E+11,50650000000,5105000000,1.005E+11,3.215E+12,511900000,101600000,122800,392900000,149100000,20950000,68180000,19480000,15470000,388900000,5792,2010,202.6,3986,127600,20.31,4.032,0.004871,15.59,5.915,0.8311,2.705,0.7731,0.6138,15.43,25200000,-95370000000,-392800000,4014000,-3784,-15.59,0.1592
Australia,2020,1.461E+11,39450000000,6069000000,1.12719E+11,3.2E+12,501600000,96990000,166300,390000000,150200000,20390000,59350000,13740000,14620000,388900000,5729.411765,1547.058824,238,4420.352941,125500,19.67,3.803,0.006523,15.29,5.890196078,0.7998,2.327,0.5389,0.5735,15.25,25500000,-1.0665E+11,-389800000,-880400,-4182.352941,-15.29,-0.03453
China,2016,1.418E+11,2.071E+11,73840000000,3330000000,4.946E+12,3411000000,3888000000,255600000,8790000,135900000,231300000,729100000,441300000,3406000,3996000000,100.3,146.5,52.22,2.355,3497,2.412,2.75,0.1807,0.006216,0.09612,0.1636,0.5156,0.3121,0.002409,2.826,1414000000,70510000000,246800000,437900000,49.86,0.1745,0.3097
China,2017,1.518E+11,2.386E+11,94310000000,3476000000,5.223E+12,3524000000,3914000000,270900000,8090000,138800000,221900000,766500000,487200000,5645000,4074000000,106.8,167.9,66.37,2.446,3675,2.48,2.754,0.1907,0.005693,0.09769,0.1562,0.5394,0.3428,0.003973,2.867,1421000000,90840000000,262800000,481500000,63.93,0.185,0.3389
China,2018,1.654E+11,2.803E+11,1.226E+11,3315000000,5.897E+12,3698000000,3975000000,281300000,4940000,141600000,219900000,790300000,536500000,3051000,4075000000,115.8,196.3,85.85,2.322,4131,2.59,2.784,0.1971,0.00346,0.09918,0.154,0.5535,0.3758,0.002137,2.854,1428000000,1.193E+11,276400000,533400000,83.53,0.1936,0.3736
China,2019,1.793E+11,3.066E+11,1.316E+11,3549000000,6.021E+12,3846000000,4019000000,299900000,5991000,141600000,222100000,813400000,540000000,3112020,4122000000,125.1,213.8,91.8,2.475,4200,2.683,2.803,0.2091,0.004179,0.09876,0.1549,0.5673,0.376569038,0.002170167,2.875,1434000000,1.281E+11,293900000,536887980,89.33,0.205,0.37439887
China,2020,1.91851E+11,3.31128E+11,1.4476E+11,3655470000,6.315E+12,3844000000,4043000000,304100000,3163000,143200000,225800000,720000000,542000000,3174260.4,4159000000,133.3224461,230.1097985,100.5976372,2.54028492,4387,2.671,2.809,0.2113,0.002198,0.099513551,0.1569,0.500347464,0.376650452,0.002205879,2.889,1439000000,1.41105E+11,300900000,538825739.6,98.05735233,0.2091,0.374444572
Japan,2016,2912000000,1.153E+11,1.162E+11,0,20900000000,1288000,192800000,189800000,2382,350000,227500,234300000,182200000,0,7014000,22.79,902.1,909.7,0,163.6,0.01008,1.509,1.485,0.00001864,0.002739,0.001781,1.834,1.426,0,0.0549,127800000,1.162E+11,189700000,182200000,909.7,1.485,1.426
Japan,2017,3046000000,1.127E+11,1.167E+11,169900000,20900000000,1328000,194500000,192800000,3029,308400,212700,229100000,182600000,0,7014000,23.89,884,914.9,1.333,163.9,0.01041,1.525,1.512,0.00002376,0.002419,0.001668,1.797,1.432,0,0.05501,127500000,1.165E+11,192800000,182600000,913.6,1.512,1.432
Japan,2018,2340000000,1.077E+11,1.127E+11,84530000,20900000000,963700,189200000,189300000,3266,350000,195700,223600000,175000000,0,7014000,18.4,846.8,885.9,0.6645,164.3,0.007576,1.487,1.488,0.00002567,0.002752,0.001538,1.758,1.375,0,0.05514,127200000,1.126E+11,189300000,175000000,885.3,1.488,1.375
Japan,2019,2157000000,1.021E+11,1.053E+11,23570,20900000000,775100,187400000,186200000,3983,350000,239200,217100000,174600000,0,7014000,17,805,829.8,0.0001858,164.7,0.00611,1.477,1.468,0.0000314,0.002759,0.001886,1.712,1.376,0,0.05529,126900000,1.053E+11,186200000,174600000,829.8,1.468,1.376
