Country,Oil
France,0.03
Germany,0.04
United States,0.33
United Kingdom,0.02
Australia,0.02
China,0.23
Japan,0.06
India,0.06
South Africa,0.01
Russia,0.06
Brazil,0.05
Italy,0.02
South Korea,0.04
Spain,0.02
