Country,Consumption
France,1.264
Germany,1.489
United States,3.19
United Kingdom,1.039
Australia,2.327
China,0.500347464
Japan,1.527
India,0.140797101
South Africa,0.532217164
Russia,1.343
Brazil,0.7621
Italy,1.009
South Korea,2.76
Spain,1.352
