Country,Gas ,Oil ,Coal 
France,0.02,0.03,0.00
Germany,0.04,0.04,0.02
United States,0.38,0.33,0.07
United Kingdom,0.03,0.02,0.00
Australia,0.02,0.02,0.02
China,0.15,0.23,0.64
Japan,0.04,0.06,0.03
India,0.03,0.06,0.13
South Africa,0.00,0.01,0.03
Russia,0.20,0.06,0.04
Brazil,0.02,0.05,0.00
Italy,0.03,0.02,0.00
South Korea,0.02,0.04,0.02
Spain,0.01,0.02,0.00
